fold,n_estimators,num_leaves,max_depth,learning_rate,ndcg@1_score
1,10,10,10,0.06,0.06406947890818857
1,10,10,10,0.08,0.063424317617866
1,10,10,10,0.1,0.06714640198511165
1,10,10,10,0.12,0.056757650951199334
1,10,10,10,0.14,0.07459057071960296
1,10,10,10,0.16,0.07459057071960296
1,10,10,10,0.18,0.07611485288904643
1,10,10,10,0.2,0.07831265508684862
1,10,10,15,0.02,0.0708684863523573
1,10,10,15,0.04,0.0708684863523573
1,10,10,15,0.06,0.06406947890818857
1,10,10,15,0.08,0.063424317617866
1,10,10,15,0.1,0.06714640198511165
1,10,10,15,0.12,0.056757650951199334
1,10,10,15,0.14,0.07459057071960296
1,10,10,15,0.16,0.07459057071960296
1,10,10,15,0.18,0.07611485288904643
1,10,10,15,0.2,0.07831265508684862
1,10,10,20,0.02,0.0708684863523573
1,10,10,20,0.04,0.0708684863523573
1,10,10,20,0.06,0.06406947890818857
1,10,10,20,0.08,0.063424317617866
1,10,10,20,0.1,0.06714640198511165
1,10,10,20,0.12,0.056757650951199334
1,10,10,20,0.14,0.07459057071960296
1,10,10,20,0.16,0.07459057071960296
1,10,10,20,0.18,0.07611485288904643
1,10,10,20,0.2,0.07831265508684862
1,10,15,5,0.02,0.04931348221670801
1,10,15,5,0.04,0.06714640198511165
1,10,15,5,0.06,0.05598014888337468
1,10,15,5,0.08,0.05970223325062033
1,10,15,5,0.1,0.04931348221670801
1,10,15,5,0.12,0.052903225806451605
1,10,15,5,0.14,0.052903225806451605
1,10,15,5,0.16,0.04931348221670801
1,10,15,5,0.18,0.04931348221670801
1,10,15,5,0.2,0.06034739454094292
1,10,15,10,0.02,0.05662531017369725
1,10,15,10,0.04,0.0612265154200638
1,10,15,10,0.06,0.06342431761786602
1,10,15,10,0.08,0.04931348221670801
1,10,15,10,0.1,0.06494859978730946
1,10,15,10,0.12,0.063424317617866
1,10,15,10,0.14,0.06867068415455511
1,10,15,10,0.16,0.06494859978730946
1,10,15,10,0.18,0.06494859978730946
1,10,15,10,0.2,0.06494859978730946
1,10,15,15,0.02,0.05662531017369725
1,10,15,15,0.04,0.0612265154200638
1,10,15,15,0.06,0.06342431761786602
1,10,15,15,0.08,0.04931348221670801
1,10,15,15,0.1,0.06494859978730946
1,10,15,15,0.12,0.063424317617866
1,10,15,15,0.14,0.06867068415455511
1,10,15,15,0.16,0.06494859978730946
1,10,15,15,0.18,0.06494859978730946
1,10,15,15,0.2,0.06494859978730946
1,10,15,20,0.02,0.05662531017369725
1,10,15,20,0.04,0.0612265154200638
1,10,15,20,0.06,0.06342431761786602
1,10,15,20,0.08,0.04931348221670801
1,10,15,20,0.1,0.06494859978730946
1,10,15,20,0.12,0.063424317617866
1,10,15,20,0.14,0.06867068415455511
1,10,15,20,0.16,0.06494859978730946
1,10,15,20,0.18,0.06494859978730946
1,10,15,20,0.2,0.06494859978730946
1,10,20,5,0.02,0.05970223325062034
1,10,20,5,0.04,0.0708684863523573
1,10,20,5,0.06,0.06867068415455511
1,10,20,5,0.08,0.04931348221670801
1,10,20,5,0.1,0.04931348221670801
1,10,20,5,0.12,0.06867068415455511
1,10,20,5,0.14,0.07086848635235729
1,10,20,5,0.16,0.07086848635235729
1,10,20,5,0.18,0.04931348221670801
1,10,20,5,0.2,0.052903225806451605
1,10,20,10,0.02,0.04559139784946237
1,10,20,10,0.04,0.052903225806451605
1,10,20,10,0.06,0.05290322580645161
1,10,20,10,0.08,0.07239276852180077
1,10,20,10,0.1,0.06714640198511165
1,10,20,10,0.12,0.06714640198511165
1,10,20,10,0.14,0.06714640198511165
1,10,20,10,0.16,0.06714640198511165
1,10,20,10,0.18,0.04559139784946237
1,10,20,10,0.2,0.04559139784946237
1,10,20,15,0.02,0.04559139784946237
1,10,20,15,0.04,0.052903225806451605
1,10,20,15,0.06,0.05290322580645161
1,10,20,15,0.08,0.07239276852180077
1,10,20,15,0.1,0.06714640198511165
1,10,20,15,0.12,0.06714640198511165
1,10,20,15,0.14,0.06714640198511165
1,10,20,15,0.16,0.06714640198511165
1,10,20,15,0.18,0.04559139784946237
1,10,20,15,0.2,0.04559139784946237
1,10,20,20,0.02,0.04559139784946237
1,10,20,20,0.04,0.052903225806451605
1,10,20,20,0.06,0.05290322580645161
1,10,20,20,0.08,0.07239276852180077
1,10,20,20,0.1,0.06714640198511165
1,10,20,20,0.12,0.06714640198511165
1,10,20,20,0.14,0.06714640198511165
1,10,20,20,0.16,0.06714640198511165
1,10,20,20,0.18,0.04559139784946237
1,10,20,20,0.2,0.04559139784946237
1,15,5,5,0.02,0.07459057071960297
1,15,5,5,0.04,0.07459057071960297
1,15,5,5,0.06,0.07459057071960297
1,15,5,5,0.08,0.07459057071960297
1,15,5,5,0.1,0.07459057071960297
1,15,5,5,0.12,0.06779156327543423
1,15,5,5,0.14,0.053035566583953676
1,15,5,5,0.16,0.07459057071960297
1,15,5,5,0.18,0.07831265508684862
1,15,5,5,0.2,0.07459057071960297
1,15,5,10,0.02,0.07459057071960297
1,15,5,10,0.04,0.07459057071960297
1,15,5,10,0.06,0.07459057071960297
1,15,5,10,0.08,0.07459057071960297
1,15,5,10,0.1,0.07459057071960297
1,15,5,10,0.12,0.06779156327543423
1,15,5,10,0.14,0.053035566583953676
1,15,5,10,0.16,0.07459057071960297
1,15,5,10,0.18,0.07831265508684862
1,15,5,10,0.2,0.07459057071960297
1,15,5,15,0.02,0.07459057071960297
1,15,5,15,0.04,0.07459057071960297
1,15,5,15,0.06,0.07459057071960297
1,15,5,15,0.08,0.07459057071960297
1,15,5,15,0.1,0.07459057071960297
1,15,5,15,0.12,0.06779156327543423
1,15,5,15,0.14,0.053035566583953676
1,15,5,15,0.16,0.07459057071960297
1,15,5,15,0.18,0.07831265508684862
1,15,5,15,0.2,0.07459057071960297
1,15,5,20,0.02,0.07459057071960297
1,15,5,20,0.04,0.07459057071960297
1,15,5,20,0.06,0.07459057071960297
1,15,5,20,0.08,0.07459057071960297
1,15,5,20,0.1,0.07459057071960297
1,15,5,20,0.12,0.06779156327543423
1,15,5,20,0.14,0.053035566583953676
1,15,5,20,0.16,0.07459057071960297
1,15,5,20,0.18,0.07831265508684862
1,15,5,20,0.2,0.07459057071960297
1,15,10,5,0.02,0.06867068415455511
1,15,10,5,0.04,0.06714640198511165
1,15,10,5,0.06,0.06559376107763204
1,15,10,5,0.08,0.06714640198511165
1,15,10,5,0.1,0.063424317617866
1,15,10,5,0.12,0.056757650951199334
1,15,10,5,0.14,0.0708684863523573
1,15,10,5,0.16,0.0708684863523573
1,15,10,5,0.18,0.0708684863523573
1,15,10,5,0.2,0.0708684863523573
1,15,10,10,0.02,0.0708684863523573
1,15,10,10,0.04,0.0708684863523573
1,15,10,10,0.06,0.06406947890818857
1,15,10,10,0.08,0.063424317617866
1,15,10,10,0.1,0.06714640198511165
1,15,10,10,0.12,0.056757650951199334
1,15,10,10,0.14,0.07459057071960296
1,15,10,10,0.16,0.07459057071960296
1,15,10,10,0.18,0.07611485288904643
1,15,10,10,0.2,0.07831265508684862
1,15,10,15,0.02,0.0708684863523573
1,15,10,15,0.04,0.0708684863523573
1,15,10,15,0.06,0.06406947890818857
1,15,10,15,0.08,0.063424317617866
1,15,10,15,0.1,0.06714640198511165
1,15,10,15,0.12,0.056757650951199334
1,15,10,15,0.14,0.07459057071960296
1,15,10,15,0.16,0.07459057071960296
1,15,10,15,0.18,0.07611485288904643
1,15,10,15,0.2,0.07831265508684862
1,15,10,20,0.02,0.0708684863523573
1,15,10,20,0.04,0.0708684863523573
1,15,10,20,0.06,0.06406947890818857
1,15,10,20,0.08,0.063424317617866
1,15,10,20,0.1,0.06714640198511165
1,15,10,20,0.12,0.056757650951199334
1,15,10,20,0.14,0.07459057071960296
1,15,10,20,0.16,0.07459057071960296
1,15,10,20,0.18,0.07611485288904643
1,15,10,20,0.2,0.07831265508684862
1,15,15,5,0.02,0.04931348221670801
1,15,15,5,0.04,0.06714640198511165
1,15,15,5,0.06,0.05598014888337468
1,15,15,5,0.08,0.05970223325062033
1,15,15,5,0.1,0.04931348221670801
1,15,15,5,0.12,0.052903225806451605
1,15,15,5,0.14,0.052903225806451605
1,15,15,5,0.16,0.04931348221670801
1,15,15,5,0.18,0.04931348221670801
1,15,15,5,0.2,0.06034739454094292
1,15,15,10,0.02,0.05662531017369725
1,15,15,10,0.04,0.0612265154200638
1,15,15,10,0.06,0.06342431761786602
1,15,15,10,0.08,0.04931348221670801
1,15,15,10,0.1,0.06494859978730946
1,15,15,10,0.12,0.063424317617866
1,15,15,10,0.14,0.06867068415455511
1,15,15,10,0.16,0.06494859978730946
1,15,15,10,0.18,0.06494859978730946
1,15,15,10,0.2,0.06494859978730946
1,15,15,15,0.02,0.05662531017369725
1,15,15,15,0.04,0.0612265154200638
1,15,15,15,0.06,0.06342431761786602
1,15,15,15,0.08,0.04931348221670801
1,15,15,15,0.1,0.06494859978730946
1,15,15,15,0.12,0.063424317617866
1,15,15,15,0.14,0.06867068415455511
1,15,15,15,0.16,0.06494859978730946
1,15,15,15,0.18,0.06494859978730946
1,15,15,15,0.2,0.06494859978730946
1,15,15,20,0.02,0.05662531017369725
1,15,15,20,0.04,0.0612265154200638
1,15,15,20,0.06,0.06342431761786602
1,15,15,20,0.08,0.04931348221670801
1,15,15,20,0.1,0.06494859978730946
1,15,15,20,0.12,0.063424317617866
1,15,15,20,0.14,0.06867068415455511
1,15,15,20,0.16,0.06494859978730946
1,15,15,20,0.18,0.06494859978730946
1,15,15,20,0.2,0.06494859978730946
1,15,20,5,0.02,0.05970223325062034
1,15,20,5,0.04,0.0708684863523573
1,15,20,5,0.06,0.06867068415455511
1,15,20,5,0.08,0.04931348221670801
1,15,20,5,0.1,0.04931348221670801
1,15,20,5,0.12,0.06867068415455511
1,15,20,5,0.14,0.07086848635235729
1,15,20,5,0.16,0.07086848635235729
1,15,20,5,0.18,0.05290322580645159
1,15,20,5,0.2,0.052903225806451605
1,15,20,10,0.02,0.04559139784946237
1,15,20,10,0.04,0.052903225806451605
1,15,20,10,0.06,0.05290322580645161
1,15,20,10,0.08,0.07239276852180077
1,15,20,10,0.1,0.06714640198511165
1,15,20,10,0.12,0.06714640198511165
1,15,20,10,0.14,0.06714640198511165
1,15,20,10,0.16,0.06714640198511165
1,15,20,10,0.18,0.04559139784946237
1,15,20,10,0.2,0.04559139784946237
1,15,20,15,0.02,0.04559139784946237
1,15,20,15,0.04,0.052903225806451605
1,15,20,15,0.06,0.05290322580645161
1,15,20,15,0.08,0.07239276852180077
1,15,20,15,0.1,0.06714640198511165
1,15,20,15,0.12,0.06714640198511165
1,15,20,15,0.14,0.06714640198511165
1,15,20,15,0.16,0.06714640198511165
1,15,20,15,0.18,0.04559139784946237
1,15,20,15,0.2,0.04559139784946237
1,15,20,20,0.02,0.04559139784946237
1,15,20,20,0.04,0.052903225806451605
1,15,20,20,0.06,0.05290322580645161
1,15,20,20,0.08,0.07239276852180077
1,15,20,20,0.1,0.06714640198511165
1,15,20,20,0.12,0.06714640198511165
1,15,20,20,0.14,0.06714640198511165
1,15,20,20,0.16,0.06714640198511165
1,15,20,20,0.18,0.04559139784946237
1,15,20,20,0.2,0.04559139784946237
1,20,5,5,0.02,0.07459057071960297
1,20,5,5,0.04,0.07459057071960297
1,20,5,5,0.06,0.07459057071960297
1,20,5,5,0.08,0.07459057071960297
1,20,5,5,0.1,0.07459057071960297
1,20,5,5,0.12,0.07086848635235729
1,20,5,5,0.14,0.05598014888337468
1,20,5,5,0.16,0.07459057071960297
1,20,5,5,0.18,0.07831265508684862
1,20,5,5,0.2,0.07459057071960297
1,20,5,10,0.02,0.07459057071960297
1,20,5,10,0.04,0.07459057071960297
1,20,5,10,0.06,0.07459057071960297
1,20,5,10,0.08,0.07459057071960297
1,20,5,10,0.1,0.07459057071960297
1,20,5,10,0.12,0.07086848635235729
1,20,5,10,0.14,0.05598014888337468
1,20,5,10,0.16,0.07459057071960297
1,20,5,10,0.18,0.07831265508684862
1,20,5,10,0.2,0.07459057071960297
1,20,5,15,0.02,0.07459057071960297
1,20,5,15,0.04,0.07459057071960297
1,20,5,15,0.06,0.07459057071960297
1,20,5,15,0.08,0.07459057071960297
1,20,5,15,0.1,0.07459057071960297
1,20,5,15,0.12,0.07086848635235729
1,20,5,15,0.14,0.05598014888337468
1,20,5,15,0.16,0.07459057071960297
1,20,5,15,0.18,0.07831265508684862
1,20,5,15,0.2,0.07459057071960297
1,20,5,20,0.02,0.07459057071960297
1,20,5,20,0.04,0.07459057071960297
1,20,5,20,0.06,0.07459057071960297
1,20,5,20,0.08,0.07459057071960297
1,20,5,20,0.1,0.07459057071960297
1,20,5,20,0.12,0.07086848635235729
1,20,5,20,0.14,0.05598014888337468
1,20,5,20,0.16,0.07459057071960297
1,20,5,20,0.18,0.07831265508684862
1,20,5,20,0.2,0.07459057071960297
1,20,10,5,0.02,0.06867068415455511
1,20,10,5,0.04,0.06714640198511165
1,20,10,5,0.06,0.06559376107763204
1,20,10,5,0.08,0.06714640198511165
1,20,10,5,0.1,0.063424317617866
1,20,10,5,0.12,0.056757650951199334
1,20,10,5,0.14,0.0708684863523573
1,20,10,5,0.16,0.0708684863523573
1,20,10,5,0.18,0.0708684863523573
1,20,10,5,0.2,0.0708684863523573
1,20,10,10,0.02,0.0708684863523573
1,20,10,10,0.04,0.0708684863523573
1,20,10,10,0.06,0.06406947890818857
1,20,10,10,0.08,0.063424317617866
1,20,10,10,0.1,0.06714640198511165
1,20,10,10,0.12,0.056757650951199334
1,20,10,10,0.14,0.07459057071960296
1,20,10,10,0.16,0.07459057071960296
1,20,10,10,0.18,0.07611485288904643
1,20,10,10,0.2,0.07831265508684862
1,20,10,15,0.02,0.0708684863523573
1,20,10,15,0.04,0.0708684863523573
1,20,10,15,0.06,0.06406947890818857
1,20,10,15,0.08,0.063424317617866
1,20,10,15,0.1,0.06714640198511165
1,20,10,15,0.12,0.056757650951199334
1,20,10,15,0.14,0.07459057071960296
1,20,10,15,0.16,0.07459057071960296
1,20,10,15,0.18,0.07611485288904643
1,20,10,15,0.2,0.07831265508684862
1,20,10,20,0.02,0.0708684863523573
1,20,10,20,0.04,0.0708684863523573
1,20,10,20,0.06,0.06406947890818857
1,20,10,20,0.08,0.063424317617866
1,20,10,20,0.1,0.06714640198511165
1,20,10,20,0.12,0.056757650951199334
1,20,10,20,0.14,0.07459057071960296
1,20,10,20,0.16,0.07459057071960296
1,20,10,20,0.18,0.07611485288904643
1,20,10,20,0.2,0.07831265508684862
1,20,15,5,0.02,0.04931348221670801
1,20,15,5,0.04,0.06714640198511165
1,20,15,5,0.06,0.05598014888337468
1,20,15,5,0.08,0.05970223325062033
1,20,15,5,0.1,0.04931348221670801
1,20,15,5,0.12,0.052903225806451605
1,20,15,5,0.14,0.052903225806451605
1,20,15,5,0.16,0.04931348221670801
1,20,15,5,0.18,0.04931348221670801
1,20,15,5,0.2,0.06034739454094292
1,20,15,10,0.02,0.05662531017369725
1,20,15,10,0.04,0.0612265154200638
1,20,15,10,0.06,0.06342431761786602
1,20,15,10,0.08,0.04931348221670801
1,20,15,10,0.1,0.06494859978730946
1,20,15,10,0.12,0.063424317617866
1,20,15,10,0.14,0.06867068415455511
1,20,15,10,0.16,0.06494859978730946
1,20,15,10,0.18,0.06494859978730946
1,20,15,10,0.2,0.06714640198511165
1,20,15,15,0.02,0.05662531017369725
1,20,15,15,0.04,0.0612265154200638
1,20,15,15,0.06,0.06342431761786602
1,20,15,15,0.08,0.04931348221670801
1,20,15,15,0.1,0.06494859978730946
1,20,15,15,0.12,0.06406947890818857
1,20,15,15,0.14,0.06867068415455511
1,20,15,15,0.16,0.06494859978730946
1,20,15,15,0.18,0.06494859978730946
1,20,15,15,0.2,0.06714640198511165
1,20,15,20,0.02,0.05662531017369725
1,20,15,20,0.04,0.0612265154200638
1,20,15,20,0.06,0.06342431761786602
1,20,15,20,0.08,0.04931348221670801
1,20,15,20,0.1,0.06494859978730946
1,20,15,20,0.12,0.06406947890818857
1,20,15,20,0.14,0.06867068415455511
1,20,15,20,0.16,0.06494859978730946
1,20,15,20,0.18,0.06494859978730946
1,20,15,20,0.2,0.06714640198511165
1,20,20,5,0.02,0.05970223325062034
1,20,20,5,0.04,0.0708684863523573
1,20,20,5,0.06,0.06867068415455511
1,20,20,5,0.08,0.04931348221670801
1,20,20,5,0.1,0.04931348221670801
1,20,20,5,0.12,0.06867068415455511
1,20,20,5,0.14,0.07086848635235729
1,20,20,5,0.16,0.07086848635235729
1,20,20,5,0.18,0.05970223325062033
1,20,20,5,0.2,0.052903225806451605
1,20,20,10,0.02,0.04559139784946237
1,20,20,10,0.04,0.052903225806451605
1,20,20,10,0.06,0.05290322580645161
1,20,20,10,0.08,0.07239276852180077
1,20,20,10,0.1,0.06714640198511165
1,20,20,10,0.12,0.06714640198511165
1,20,20,10,0.14,0.06714640198511165
1,20,20,10,0.16,0.06714640198511165
1,20,20,10,0.18,0.04559139784946237
1,20,20,10,0.2,0.04559139784946237
1,20,20,15,0.02,0.04559139784946237
1,20,20,15,0.04,0.052903225806451605
1,20,20,15,0.06,0.05290322580645161
1,20,20,15,0.08,0.07239276852180077
1,20,20,15,0.1,0.06714640198511165
1,20,20,15,0.12,0.06714640198511165
1,20,20,15,0.14,0.06714640198511165
1,20,20,15,0.16,0.06714640198511165
1,20,20,15,0.18,0.04559139784946237
1,20,20,15,0.2,0.04559139784946237
1,20,20,20,0.02,0.04559139784946237
1,20,20,20,0.04,0.052903225806451605
1,20,20,20,0.06,0.05290322580645161
1,20,20,20,0.08,0.07239276852180077
1,20,20,20,0.1,0.06714640198511165
1,20,20,20,0.12,0.06714640198511165
1,20,20,20,0.14,0.06714640198511165
1,20,20,20,0.16,0.06714640198511165
1,20,20,20,0.18,0.04559139784946237
1,20,20,20,0.2,0.04559139784946237
1,25,5,5,0.02,0.07459057071960297
1,25,5,5,0.04,0.07459057071960297
1,25,5,5,0.06,0.07459057071960297
1,25,5,5,0.08,0.07459057071960297
1,25,5,5,0.1,0.07459057071960297
1,25,5,5,0.12,0.07086848635235729
1,25,5,5,0.14,0.05598014888337468
1,25,5,5,0.16,0.07459057071960297
1,25,5,5,0.18,0.07831265508684862
1,25,5,5,0.2,0.07459057071960297
1,25,5,10,0.02,0.07459057071960297
1,25,5,10,0.04,0.07459057071960297
1,25,5,10,0.06,0.07459057071960297
1,25,5,10,0.08,0.07459057071960297
1,25,5,10,0.1,0.07459057071960297
1,25,5,10,0.12,0.07086848635235729
1,25,5,10,0.14,0.05598014888337468
1,25,5,10,0.16,0.07459057071960297
1,25,5,10,0.18,0.07831265508684862
1,25,5,10,0.2,0.07459057071960297
1,25,5,15,0.02,0.07459057071960297
1,25,5,15,0.04,0.07459057071960297
1,25,5,15,0.06,0.07459057071960297
1,25,5,15,0.08,0.07459057071960297
